source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,0.08,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,0.08,Ammonia,#000ECD,TWh
Gas,Methane-to-Methanol,0.08,Gas,#FFD700,TWh
Methane-to-Methanol,Methanol,0.05,Methanol,#CC0066,TWh
Methanol,Non-energy demand,0.05,Methanol,#CC0066,TWh
Oil,NSC,1.59,Naphtha,#8B008B,TWh
Elec,NSC,0.02,Electricity,#00BFFF,TWh
Heat HT,NSC,0.02,Heat HT,#DC143C,TWh
NSC,HVC,0.87,HVC,#00FFFF,TWh
HVC,Non-energy demand,0.87,HVC,#00FFFF,TWh
Imp. Diesel,Diesel,9.69,Diesel,#D3D3D3,TWh
Diesel,Mob public,9.69,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,26.34,Gas,#FFD700,TWh
Imp. Gas,Gas sto.,5.26,GAS,#FFD700,TWh
Gas sto.,Gas,5.16,GAS,#FFD700,TWh
Gas,Freight,17.69,GAS,#FFD700,TWh
Gas,HPs,12.75,GAS,#FFD700,TWh
Gas,Boilers,2.89,GAS,#FFD700,TWh
Uranium,Elec,42.97,Nuclear,#FFC0CB,TWh
Wind,Elec,10.68,Wind,#27AE34,TWh
Hydro River,Elec,17.68,Hydro River,#0000FF,TWh
Hydro Dams,Elec,17.46,Hydro Dam,#0000FF,TWh
Coal,Boilers,1.00,Coal,#A0522D,TWh
Solar,Elec,9.90,Solar,#FFFF00,TWh
CSP,Elec,0.00,Solar,#FFFF00,TWh
CSP,Elec,0.00,Solar,#FFFF00,TWh
Waste,Boilers,11.14,Waste,#808000,TWh
Imp. Oil,Oil,1.59,Oil,#8B008B,TWh
Wood,Boilers,6.00,Wood,#CD853F,TWh
Wet biomass,Biomethanation,6.28,Wood,#CD853F,TWh
Biomethanation,Gas,1.88,GAS,#FFD700,TWh
Elec,Mob priv,11.75,Electricity,#00BFFF,TWh
Elec,Mob public,2.37,Electricity,#00BFFF,TWh
Elec,Freight,0.68,Electricity,#00BFFF,TWh
Elec,Exp & Loss,3.37,Electricity,#00BFFF,TWh
Elec,Elec demand,23.88,Electricity,#00BFFF,TWh
Elec,Storage,13.04,Electricity,#00BFFF,TWh
Storage,Elec demand,12.74,Electricity,#00BFFF,TWh
Elec,HPs,13.05,Electricity,#00BFFF,TWh
Elec,refrig. cycles,0.78,Electricity,#00BFFF,TWh
Elec,Heat HT,1.21,Electricity,#00BFFF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,0.00,H2,#FF00FF,TWh
HPs,Dec. sto,11.45,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,32.24,Heat LT,#FA8072,TWh
HPs,DHN,19.44,Heat LT,#FA8072,TWh
refrig. cycles,PROCESS_COOLING,1.57,PROCESS_COOLING,#FA8072,TWh
Dec. sto,Heat LT Dec,10.49,Heat LT,#FA8072,TWh
Boilers,Heat HT,17.82,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,13.12,Heat LT,#FA8072,TWh
DHN,Loss DHN,0.97,Heat LT,#FA8072,TWh
DHN,DHN Sto,5.35,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,5.20,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,19.02,Heat HT,#DC143C,TWh
